process,time,chunk,ratio
1,31.75160241127014,1,1.0
1,30.877679347991943,2,2.0
1,31.441328525543213,3,3.0
1,31.275091409683228,4,4.0
1,31.566275358200073,5,5.0
1,31.226629495620728,6,6.0
1,31.044597864151,7,7.0
1,31.431085348129272,8,8.0
1,31.52307939529419,9,9.0
1,31.003304719924927,10,10.0
1,31.474457025527954,15,15.0
1,31.451029300689697,20,20.0
1,31.91150188446045,25,25.0
1,31.831135749816895,30,30.0
1,31.72243618965149,40,40.0
1,31.516245126724243,50,50.0
2,16.651843547821045,1,0.5
2,16.601850986480713,2,1.0
2,16.691035509109497,3,1.5
2,16.39835238456726,4,2.0
2,16.811174392700195,5,2.5
2,16.6683349609375,6,3.0
2,16.63690185546875,7,3.5
2,16.759154081344604,8,4.0
2,16.89849853515625,9,4.5
2,16.51039481163025,10,5.0
2,16.778226375579834,15,7.5
2,16.77616047859192,20,10.0
2,16.55162501335144,25,12.5
2,16.812324285507202,30,15.0
2,16.776116371154785,40,20.0
2,16.75501298904419,50,25.0
3,11.805286884307861,1,0.3333333333333333
3,11.975535154342651,2,0.6666666666666666
3,11.96624207496643,3,1.0
3,12.104243278503418,4,1.3333333333333333
3,12.047342538833618,5,1.6666666666666667
3,12.025728464126587,6,2.0
3,11.995842933654785,7,2.3333333333333335
3,12.052200078964233,8,2.6666666666666665
3,12.06693959236145,9,3.0
3,11.713674545288086,10,3.3333333333333335
3,12.03822660446167,15,5.0
3,12.06016993522644,20,6.666666666666667
3,12.039272785186768,25,8.333333333333334
3,13.81843376159668,30,10.0
3,12.942887306213379,40,13.333333333333334
3,12.276641368865967,50,16.666666666666668
4,11.012614727020264,1,0.25
4,10.661982297897339,2,0.5
4,9.637770891189575,3,0.75
4,9.850589036941528,4,1.0
4,10.085707664489746,5,1.25
4,9.722548723220825,6,1.5
4,9.776532173156738,7,1.75
4,9.857622146606445,8,2.0
4,9.768310308456421,9,2.25
4,9.880447626113892,10,2.5
4,9.866624355316162,15,3.75
4,10.550688982009888,20,5.0
4,9.821564435958862,25,6.25
4,9.835330724716187,30,7.5
4,9.93932294845581,40,10.0
4,9.846682071685791,50,12.5
5,9.911681890487671,1,0.2
5,10.12628722190857,2,0.4
5,9.858160495758057,3,0.6
5,9.659221410751343,4,0.8
5,9.878472805023193,5,1.0
5,9.887975931167603,6,1.2
5,9.770542860031128,7,1.4
5,10.318243741989136,8,1.6
5,9.949633121490479,9,1.8
5,9.835055351257324,10,2.0
5,9.887005805969238,15,3.0
5,9.867233753204346,20,4.0
5,9.625328302383423,25,5.0
5,10.074992418289185,30,6.0
5,9.850857496261597,40,8.0
5,9.796858310699463,50,10.0
6,9.772954225540161,1,0.16666666666666666
6,9.713293313980103,2,0.3333333333333333
6,9.73620343208313,3,0.5
6,9.84889554977417,4,0.6666666666666666
6,10.174520254135132,5,0.8333333333333334
6,9.642045259475708,6,1.0
6,9.703348159790039,7,1.1666666666666667
6,9.686509370803833,8,1.3333333333333333
6,9.636908292770386,9,1.5
6,9.863653898239136,10,1.6666666666666667
6,10.0463285446167,15,2.5
6,9.781161546707153,20,3.3333333333333335
6,9.850634574890137,25,4.166666666666667
6,9.761315822601318,30,5.0
6,9.866771221160889,40,6.666666666666667
6,10.046940565109253,50,8.333333333333334
7,10.00756573677063,1,0.14285714285714285
7,9.559112071990967,2,0.2857142857142857
7,9.557521104812622,3,0.42857142857142855
7,9.63067078590393,4,0.5714285714285714
7,9.37854528427124,5,0.7142857142857143
7,9.664353847503662,6,0.8571428571428571
7,9.627957820892334,7,1.0
7,9.70773434638977,8,1.1428571428571428
7,9.60232424736023,9,1.2857142857142858
7,9.531774282455444,10,1.4285714285714286
7,9.55335021018982,15,2.142857142857143
7,9.671674013137817,20,2.857142857142857
7,10.529711961746216,25,3.5714285714285716
7,9.823348999023438,30,4.285714285714286
7,9.69890284538269,40,5.714285714285714
7,10.176696538925171,50,7.142857142857143
8,10.211490631103516,1,0.125
8,9.827430486679077,2,0.25
8,9.781602144241333,3,0.375
8,10.096592664718628,4,0.5
8,9.784971475601196,5,0.625
8,9.727261781692505,6,0.75
8,9.828640460968018,7,0.875
8,9.818352937698364,8,1.0
8,10.016174554824829,9,1.125
8,9.778011322021484,10,1.25
8,9.877249479293823,15,1.875
8,9.815094709396362,20,2.5
8,9.609577178955078,25,3.125
8,9.77701187133789,30,3.75
8,9.78876519203186,40,5.0
8,9.767220258712769,50,6.25
