Id,Category,bert,xlnet,roberta
0,0,6,6,6
1,0,20,20,20
2,0,19,19,22
3,0,19,19,19
4,0,19,19,19
5,0,6,6,6
6,0,26,26,26
7,0,26,26,26
8,0,22,22,22
9,0,19,19,19
10,0,19,19,19
11,0,20,20,20
12,0,19,19,19
13,0,11,19,11
14,0,19,19,19
15,0,26,26,26
16,0,19,19,19
17,0,19,19,19
18,0,19,19,19
19,0,19,19,19
20,0,6,6,6
21,0,1,1,1
22,0,5,7,7
23,0,6,19,19
24,0,26,26,26
25,0,20,20,20
26,0,19,19,19
27,0,6,19,6
28,0,19,19,19
29,0,19,19,19
30,0,19,19,19
31,0,19,19,19
32,0,14,14,14
33,0,14,14,14
34,0,14,14,14
35,0,19,19,19
36,0,15,15,15
37,0,19,19,19
38,0,19,19,19
39,0,19,19,19
40,0,19,19,19
41,0,19,19,19
42,0,19,19,19
43,0,19,11,11
44,0,14,14,14
45,0,24,24,24
46,0,20,20,20
47,0,19,19,19
48,0,11,11,11
49,0,6,6,6
50,0,8,8,8
51,0,19,19,19
52,0,26,26,26
53,0,20,20,20
54,0,26,24,26
55,0,19,19,19
56,0,26,26,26
57,0,19,19,19
58,0,26,26,26
59,0,19,19,19
60,0,20,7,5
61,0,19,22,19
62,0,24,24,24
63,0,18,18,18
64,0,20,20,20
65,0,19,19,19
66,0,19,19,19
67,0,22,22,22
68,0,19,19,19
69,0,18,18,18
70,0,20,20,20
71,0,20,20,20
72,0,26,26,26
73,0,24,24,6
74,0,19,19,19
75,0,19,19,19
76,0,3,3,3
77,0,19,19,19
78,0,20,20,20
79,0,22,22,22
80,0,19,19,19
81,0,19,19,19
82,0,5,5,5
83,0,19,19,0
84,0,19,19,19
85,0,26,26,26
86,0,26,26,26
87,0,19,19,19
88,0,26,26,26
89,0,26,26,26
90,0,19,19,19
91,0,25,25,12
92,0,19,19,19
93,0,21,21,21
94,0,19,19,19
95,0,20,6,20
96,0,20,20,20
97,0,10,10,10
98,0,6,6,6
99,0,25,25,25
100,0,19,19,19
101,0,19,19,19
102,0,19,22,22
103,0,19,19,19
104,0,26,3,3
105,0,24,24,24
106,0,20,20,6
107,0,19,19,19
108,0,6,6,6
109,0,19,19,19
110,0,13,13,13
111,0,19,19,19
112,0,19,19,19
113,0,3,3,3
114,0,3,19,3
115,0,13,13,13
116,0,3,3,3
117,0,19,3,19
118,0,19,19,19
119,0,24,24,24
120,0,19,19,19
121,0,6,6,6
122,0,13,13,13
123,0,19,19,19
124,0,24,24,24
125,0,20,20,20
126,0,13,13,13
127,0,19,19,19
128,0,5,5,5
129,0,27,27,27
130,0,26,26,26
131,0,20,20,20
132,0,6,26,6
133,0,20,20,20
134,0,3,3,19
135,0,26,26,26
136,0,6,18,18
137,0,22,22,22
138,0,19,11,19
139,0,14,24,14
140,0,3,3,3
141,0,19,19,19
142,0,6,6,6
143,0,19,19,19
144,0,20,20,20
145,0,19,19,19
146,0,6,6,6
147,0,20,20,20
148,0,19,19,19
149,0,19,19,19
150,0,6,6,6
151,0,26,26,26
152,0,19,19,19
153,0,19,19,19
154,0,20,14,14
155,0,19,20,20
156,0,5,5,5
157,0,24,24,24
158,0,5,5,5
159,0,20,20,20
160,0,19,19,19
161,0,19,19,19
162,0,11,11,11
163,0,2,2,2
164,0,26,26,26
165,0,22,22,22
166,0,1,1,1
167,0,26,26,26
168,0,19,19,19
169,0,6,6,6
170,0,19,3,19
171,0,19,19,19
172,0,6,6,6
173,0,26,26,26
174,0,19,19,19
175,0,19,19,19
176,0,9,9,9
177,0,26,26,26
178,0,20,20,20
179,0,19,19,19
180,0,19,19,19
181,0,13,13,13
182,0,19,19,19
183,0,19,19,19
184,0,6,6,6
185,0,20,20,20
186,0,14,14,14
187,0,3,3,3
188,0,2,2,2
189,0,24,24,13
190,0,6,6,6
191,0,19,19,11
192,0,3,3,3
193,0,3,3,3
194,0,25,25,21
195,0,26,26,26
196,0,20,20,20
197,0,22,22,22
198,0,3,3,3
199,0,19,19,19
200,0,26,26,26
201,0,20,20,20
202,0,19,19,19
203,0,6,12,1
204,0,9,9,9
205,0,8,8,8
206,0,24,24,24
207,0,6,6,6
208,0,19,19,19
209,0,25,25,25
210,0,19,19,19
211,0,9,9,9
212,0,19,19,19
213,0,19,19,19
214,0,20,20,20
215,0,22,22,22
216,0,20,20,20
217,0,5,5,5
218,0,12,25,21
219,0,19,19,19
220,0,3,3,3
221,0,19,19,19
222,0,6,6,6
223,0,6,6,6
224,0,6,6,6
225,0,8,8,8
226,0,19,19,19
227,0,6,6,6
228,0,19,19,19
229,0,27,27,27
230,0,26,26,26
231,0,6,6,6
232,0,20,20,20
233,0,13,13,13
234,0,26,26,26
235,0,19,19,19
236,0,11,11,14
237,0,19,19,19
238,0,8,8,8
239,0,19,5,5
240,0,20,20,20
241,0,19,19,19
242,0,20,20,20
243,0,14,14,14
244,0,24,13,13
245,0,26,20,19
246,0,18,18,18
247,0,19,19,19
248,0,15,15,15
249,0,6,6,6
250,0,15,15,15
251,0,19,0,19
252,0,14,14,14
253,0,26,14,23
254,0,20,20,20
255,0,19,19,19
256,0,19,19,19
257,0,19,19,19
258,0,13,13,13
259,0,26,26,26
260,0,18,18,18
261,0,15,15,15
262,0,26,26,26
263,0,26,26,26
264,0,19,19,19
265,0,19,19,19
266,0,13,13,13
267,0,26,26,26
268,0,26,26,26
269,0,20,20,20
270,0,14,14,14
271,0,26,26,26
272,0,6,6,6
273,0,19,19,19
274,0,20,20,20
275,0,10,10,10
276,0,19,19,19
277,0,14,14,14
278,0,5,5,20
279,0,26,26,26
280,0,1,1,1
281,0,20,20,20
282,0,8,8,8
283,0,20,20,20
284,0,6,6,6
285,0,6,3,3
286,0,22,22,22
287,0,20,20,20
288,0,26,26,26
289,0,6,6,6
290,0,6,6,6
291,0,19,19,19
292,0,19,19,19
293,0,3,3,22
294,0,20,1,1
295,0,20,20,20
296,0,19,19,19
297,0,19,19,19
298,0,19,19,19
299,0,24,24,24
300,0,19,8,19
301,0,13,13,13
302,0,19,19,19
303,0,20,20,20
304,0,9,9,9
305,0,27,27,27
306,0,27,27,27
307,0,20,20,20
308,0,15,15,15
309,0,1,1,1
310,0,19,19,19
311,0,19,19,19
312,0,27,27,27
313,0,0,0,0
314,0,8,8,8
315,0,12,12,12
316,0,19,19,19
317,0,19,19,19
318,0,14,14,14
319,0,19,19,19
320,0,22,22,22
321,0,19,19,19
322,0,19,19,19
323,0,19,19,19
324,0,6,6,6
325,0,19,19,19
326,0,26,26,26
327,0,19,19,19
328,0,19,19,19
329,0,6,6,20
330,0,8,8,8
331,0,19,19,19
332,0,20,20,20
333,0,17,17,17
334,0,22,19,22
335,0,6,6,6
336,0,6,6,6
337,0,19,19,19
338,0,26,26,26
339,0,6,6,6
340,0,13,13,13
341,0,13,13,13
342,0,1,1,1
343,0,12,12,12
344,0,6,6,6
345,0,6,6,6
346,0,6,19,6
347,0,19,22,22
348,0,11,11,11
349,0,20,20,20
350,0,19,19,19
351,0,6,6,6
352,0,5,20,20
353,0,8,8,17
354,0,16,16,16
355,0,19,19,19
356,0,26,26,26
357,0,3,19,26
358,0,19,19,19
359,0,12,12,12
360,0,19,19,19
361,0,19,19,19
362,0,25,25,25
363,0,13,13,13
364,0,10,10,10
365,0,6,6,6
366,0,19,19,19
367,0,20,20,20
368,0,6,19,19
369,0,25,25,25
370,0,19,0,19
371,0,19,19,19
372,0,19,11,3
373,0,22,22,22
374,0,5,6,6
375,0,19,19,19
376,0,19,19,19
377,0,19,19,19
378,0,6,26,6
379,0,15,15,15
380,0,6,6,6
381,0,19,19,19
382,0,26,26,26
383,0,19,19,19
384,0,26,26,9
385,0,8,8,8
386,0,8,8,8
387,0,13,13,13
388,0,19,19,19
389,0,13,13,13
390,0,19,19,19
391,0,6,6,6
392,0,20,20,20
393,0,26,26,26
394,0,19,19,19
395,0,19,19,19
396,0,12,12,12
397,0,19,19,19
398,0,19,19,19
399,0,19,19,19
400,0,6,6,6
401,0,19,19,19
402,0,19,19,19
403,0,13,13,6
404,0,19,19,19
405,0,20,20,20
406,0,20,20,20
407,0,20,20,20
408,0,20,20,20
409,0,19,19,19
410,0,26,26,26
411,0,8,11,8
412,0,19,19,19
413,0,19,19,19
414,0,6,19,19
415,0,19,19,9
416,0,19,14,19
417,0,24,24,24
418,0,19,19,19
419,0,20,20,20
420,0,19,19,19
421,0,26,26,26
422,0,19,19,19
423,0,19,19,19
424,0,19,19,19
425,0,19,19,19
426,0,19,19,19
427,0,19,19,19
428,0,22,22,22
429,0,19,19,19
430,0,19,19,19
431,0,6,6,6
432,0,19,19,19
433,0,3,3,3
434,0,26,26,26
435,0,23,23,23
436,0,25,25,25
437,0,19,19,19
438,0,19,19,19
439,0,22,22,22
440,0,19,19,19
441,0,22,22,22
442,0,19,19,19
443,0,15,19,15
444,0,19,19,19
445,0,26,26,26
446,0,6,6,6
447,0,19,19,22
448,0,20,20,20
449,0,19,19,19
450,0,22,22,22
451,0,24,24,24
452,0,19,19,19
453,0,3,3,3
454,0,19,19,19
455,0,26,26,26
456,0,26,26,26
457,0,26,26,26
458,0,26,26,26
459,0,8,8,11
460,0,6,6,6
461,0,24,24,24
462,0,19,19,19
463,0,19,19,19
464,0,19,26,26
465,0,19,19,19
466,0,19,19,19
467,0,19,19,19
468,0,9,9,9
469,0,20,20,20
470,0,9,9,9
471,0,6,6,6
472,0,24,24,24
473,0,14,14,14
474,0,26,26,23
475,0,6,6,6
476,0,20,20,20
477,0,3,3,3
478,0,25,25,25
479,0,12,12,12
480,0,19,19,19
481,0,18,1,1
482,0,19,19,19
483,0,20,20,20
484,0,19,19,19
485,0,20,20,20
486,0,5,5,5
487,0,5,5,5
488,0,21,21,21
489,0,19,19,19
490,0,19,19,19
491,0,5,5,5
492,0,19,19,19
493,0,19,19,19
494,0,3,3,3
495,0,26,26,26
496,0,7,7,7
497,0,19,19,19
498,0,6,6,20
499,0,25,25,25
500,0,19,19,19
501,0,20,20,20
502,0,19,19,19
503,0,19,19,19
504,0,26,26,26
505,0,19,6,6
506,0,8,8,8
507,0,19,19,19
508,0,27,27,27
509,0,8,8,8
510,0,6,6,6
511,0,16,16,16
512,0,19,19,19
513,0,25,25,25
514,0,21,21,21
515,0,15,15,15
516,0,19,19,19
517,0,20,20,20
518,0,25,19,25
519,0,19,19,19
520,0,19,19,19
521,0,0,0,0
522,0,19,19,19
523,0,18,18,18
524,0,26,26,26
525,0,26,26,26
526,0,20,20,20
527,0,19,19,19
528,0,19,19,19
529,0,19,19,19
530,0,19,19,19
531,0,15,15,15
532,0,26,26,26
533,0,0,0,0
534,0,3,3,4
535,0,3,3,3
536,0,26,26,26
537,0,6,6,6
538,0,6,6,6
539,0,15,15,15
540,0,17,17,19
541,0,12,12,12
542,0,25,25,25
543,0,1,1,1
544,0,6,6,6
545,0,3,3,3
546,0,20,20,20
547,0,13,13,13
548,0,19,19,19
549,0,20,20,20
550,0,13,13,13
551,0,8,11,19
552,0,8,8,8
553,0,19,19,19
554,0,26,26,26
555,0,22,22,22
556,0,19,19,19
557,0,3,3,3
558,0,13,13,13
559,0,5,5,5
560,0,17,17,17
561,0,19,19,19
562,0,19,19,19
563,0,19,19,19
564,0,11,1,12
565,0,26,26,26
566,0,21,21,21
567,0,19,19,19
568,0,6,6,6
569,0,26,26,26
570,0,8,8,8
571,0,6,6,6
572,0,19,19,19
573,0,24,24,24
574,0,24,24,24
575,0,26,26,26
